masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck10
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<518:00:09,  3.73s/it]
dA: 2.167; gA: 0.023;idtA: 0.017; ;dB: 0.885; gB: 0.006;cA: 0.027; cB: 0.024:   0%|          | 1/500000 [00:03<518:00:09,  3.73s/it]
dA: 2.167; gA: 0.023;idtA: 0.017; ;dB: 0.885; gB: 0.006;cA: 0.027; cB: 0.024:   0%|          | 2/500000 [00:04<513:47:25,  3.70s/it]
dA: 1.711; gA: 0.013;idtA: 0.023; ;dB: 0.903; gB: 0.014;cA: 0.057; cB: 0.046:   0%|          | 2/500000 [00:04<513:47:25,  3.70s/it]
dA: 1.711; gA: 0.013;idtA: 0.023; ;dB: 0.903; gB: 0.014;cA: 0.057; cB: 0.046:   0%|          | 3/500000 [00:05<509:35:42,  3.67s/it]
dA: 3.306; gA: -0.007;idtA: 0.031; ;dB: 0.466; gB: 0.012;cA: 0.066; cB: 0.083:   0%|          | 3/500000 [00:05<509:35:42,  3.67s/it]
dA: 3.306; gA: -0.007;idtA: 0.031; ;dB: 0.466; gB: 0.012;cA: 0.066; cB: 0.083:   0%|          | 4/500000 [00:05<505:26:24,  3.64s/it]
dA: 2.447; gA: 0.013;idtA: 0.045; ;dB: 0.854; gB: 0.008;cA: 0.092; cB: 0.084:   0%|          | 4/500000 [00:05<505:26:24,  3.64s/it] 
dA: 2.447; gA: 0.013;idtA: 0.045; ;dB: 0.854; gB: 0.008;cA: 0.092; cB: 0.084:   0%|          | 5/500000 [00:06<501:19:45,  3.61s/it]
dA: 2.821; gA: -0.004;idtA: 0.023; ;dB: 0.871; gB: 0.008;cA: 0.054; cB: 0.047:   0%|          | 5/500000 [00:06<501:19:45,  3.61s/it]
dA: 2.821; gA: -0.004;idtA: 0.023; ;dB: 0.871; gB: 0.008;cA: 0.054; cB: 0.047:   0%|          | 6/500000 [00:07<497:15:59,  3.58s/it]
dA: 2.593; gA: 0.004;idtA: 0.038; ;dB: 0.690; gB: 0.003;cA: 0.073; cB: 0.067:   0%|          | 6/500000 [00:07<497:15:59,  3.58s/it] 
dA: 2.593; gA: 0.004;idtA: 0.038; ;dB: 0.690; gB: 0.003;cA: 0.073; cB: 0.067:   0%|          | 7/500000 [00:07<493:14:13,  3.55s/it]
dA: 4.245; gA: -0.000;idtA: 0.016; ;dB: 1.013; gB: 0.008;cA: 0.077; cB: 0.030:   0%|          | 7/500000 [00:07<493:14:13,  3.55s/it]
dA: 4.245; gA: -0.000;idtA: 0.016; ;dB: 1.013; gB: 0.008;cA: 0.077; cB: 0.030:   0%|          | 8/500000 [00:08<489:15:01,  3.52s/it]
dA: 2.648; gA: 0.004;idtA: 0.010; ;dB: 0.712; gB: 0.007;cA: 0.037; cB: 0.023:   0%|          | 8/500000 [00:08<489:15:01,  3.52s/it] 
dA: 2.648; gA: 0.004;idtA: 0.010; ;dB: 0.712; gB: 0.007;cA: 0.037; cB: 0.023:   0%|          | 9/500000 [00:09<485:18:10,  3.49s/it]
dA: 2.025; gA: 0.005;idtA: 0.023; ;dB: 0.271; gB: 0.015;cA: 0.055; cB: 0.044:   0%|          | 9/500000 [00:09<485:18:10,  3.49s/it]
dA: 2.025; gA: 0.005;idtA: 0.023; ;dB: 0.271; gB: 0.015;cA: 0.055; cB: 0.044:   0%|          | 10/500000 [00:09<481:23:46,  3.47s/it]
dA: 2.708; gA: 0.002;idtA: 0.015; ;dB: 1.473; gB: 0.006;cA: 0.029; cB: 0.041:   0%|          | 10/500000 [00:09<481:23:46,  3.47s/it]
dA: 2.708; gA: 0.002;idtA: 0.015; ;dB: 1.473; gB: 0.006;cA: 0.029; cB: 0.041:   0%|          | 11/500000 [00:10<477:31:38,  3.44s/it]
dA: 1.714; gA: 0.009;idtA: 0.010; ;dB: 0.215; gB: 0.010;cA: 0.031; cB: 0.019:   0%|          | 11/500000 [00:10<477:31:38,  3.44s/it]
dA: 1.714; gA: 0.009;idtA: 0.010; ;dB: 0.215; gB: 0.010;cA: 0.031; cB: 0.019:   0%|          | 12/500000 [00:11<473:41:43,  3.41s/it]
dA: 2.427; gA: 0.000;idtA: 0.026; ;dB: 0.845; gB: 0.013;cA: 0.061; cB: 0.039:   0%|          | 12/500000 [00:11<473:41:43,  3.41s/it]
dA: 2.427; gA: 0.000;idtA: 0.026; ;dB: 0.845; gB: 0.013;cA: 0.061; cB: 0.039:   0%|          | 13/500000 [00:11<469:54:23,  3.38s/it]
dA: 2.029; gA: 0.003;idtA: 0.022; ;dB: 0.324; gB: -0.001;cA: 0.055; cB: 0.055:   0%|          | 13/500000 [00:11<469:54:23,  3.38s/it]
dA: 2.029; gA: 0.003;idtA: 0.022; ;dB: 0.324; gB: -0.001;cA: 0.055; cB: 0.055:   0%|          | 14/500000 [00:12<466:09:16,  3.36s/it]
dA: 2.057; gA: 0.024;idtA: 0.050; ;dB: 0.501; gB: 0.016;cA: 0.089; cB: 0.084:   0%|          | 14/500000 [00:12<466:09:16,  3.36s/it] 
dA: 2.057; gA: 0.024;idtA: 0.050; ;dB: 0.501; gB: 0.016;cA: 0.089; cB: 0.084:   0%|          | 15/500000 [00:13<462:26:25,  3.33s/it]
dA: 1.819; gA: 0.003;idtA: 0.030; ;dB: 0.206; gB: 0.011;cA: 0.059; cB: 0.050:   0%|          | 15/500000 [00:13<462:26:25,  3.33s/it]
dA: 1.819; gA: 0.003;idtA: 0.030; ;dB: 0.206; gB: 0.011;cA: 0.059; cB: 0.050:   0%|          | 16/500000 [00:13<458:45:28,  3.30s/it]
dA: 2.225; gA: 0.005;idtA: 0.014; ;dB: 0.847; gB: 0.007;cA: 0.035; cB: 0.025:   0%|          | 16/500000 [00:13<458:45:28,  3.30s/it]
dA: 2.225; gA: 0.005;idtA: 0.014; ;dB: 0.847; gB: 0.007;cA: 0.035; cB: 0.025:   0%|          | 17/500000 [00:14<455:06:38,  3.28s/it]
dA: 1.951; gA: 0.001;idtA: 0.016; ;dB: 0.014; gB: 0.015;cA: 0.051; cB: 0.026:   0%|          | 17/500000 [00:14<455:06:38,  3.28s/it]
dA: 1.951; gA: 0.001;idtA: 0.016; ;dB: 0.014; gB: 0.015;cA: 0.051; cB: 0.026:   0%|          | 18/500000 [00:15<451:30:15,  3.25s/it]
dA: 5.234; gA: -0.004;idtA: 0.018; ;dB: 0.677; gB: 0.006;cA: 0.028; cB: 0.027:   0%|          | 18/500000 [00:15<451:30:15,  3.25s/it]
dA: 5.234; gA: -0.004;idtA: 0.018; ;dB: 0.677; gB: 0.006;cA: 0.028; cB: 0.027:   0%|          | 19/500000 [00:16<447:56:18,  3.23s/it]
dA: 2.241; gA: 0.002;idtA: 0.021; ;dB: 1.651; gB: 0.008;cA: 0.042; cB: 0.049:   0%|          | 19/500000 [00:16<447:56:18,  3.23s/it] 
dA: 2.241; gA: 0.002;idtA: 0.021; ;dB: 1.651; gB: 0.008;cA: 0.042; cB: 0.049:   0%|          | 20/500000 [00:16<444:23:51,  3.20s/it]
dA: 1.695; gA: 0.006;idtA: 0.014; ;dB: 0.208; gB: 0.008;cA: 0.045; cB: 0.032:   0%|          | 20/500000 [00:16<444:23:51,  3.20s/it]
dA: 1.695; gA: 0.006;idtA: 0.014; ;dB: 0.208; gB: 0.008;cA: 0.045; cB: 0.032:   0%|          | 21/500000 [00:17<440:53:44,  3.17s/it]
dA: 4.210; gA: -0.010;idtA: 0.023; ;dB: 1.480; gB: 0.002;cA: 0.039; cB: 0.032:   0%|          | 21/500000 [00:17<440:53:44,  3.17s/it]
dA: 4.210; gA: -0.010;idtA: 0.023; ;dB: 1.480; gB: 0.002;cA: 0.039; cB: 0.032:   0%|          | 22/500000 [00:18<437:25:43,  3.15s/it]
dA: 2.062; gA: 0.008;idtA: 0.035; ;dB: 0.438; gB: 0.017;cA: 0.067; cB: 0.056:   0%|          | 22/500000 [00:18<437:25:43,  3.15s/it] 
dA: 2.062; gA: 0.008;idtA: 0.035; ;dB: 0.438; gB: 0.017;cA: 0.067; cB: 0.056:   0%|          | 23/500000 [00:18<434:05:28,  3.13s/it]
dA: 1.873; gA: -0.004;idtA: 0.030; ;dB: 0.960; gB: 0.006;cA: 0.065; cB: 0.060:   0%|          | 23/500000 [00:18<434:05:28,  3.13s/it]
dA: 1.873; gA: -0.004;idtA: 0.030; ;dB: 0.960; gB: 0.006;cA: 0.065; cB: 0.060:   0%|          | 24/500000 [00:19<430:41:48,  3.10s/it]
dA: 1.905; gA: 0.001;idtA: 0.023; ;dB: 0.726; gB: 0.010;cA: 0.056; cB: 0.053:   0%|          | 24/500000 [00:19<430:41:48,  3.10s/it] 
dA: 1.905; gA: 0.001;idtA: 0.023; ;dB: 0.726; gB: 0.010;cA: 0.056; cB: 0.053:   0%|          | 25/500000 [00:20<427:20:22,  3.08s/it]
dA: 1.902; gA: 0.007;idtA: 0.037; ;dB: 0.289; gB: 0.010;cA: 0.057; cB: 0.075:   0%|          | 25/500000 [00:20<427:20:22,  3.08s/it]
dA: 1.902; gA: 0.007;idtA: 0.037; ;dB: 0.289; gB: 0.010;cA: 0.057; cB: 0.075:   0%|          | 26/500000 [00:20<424:00:50,  3.05s/it]
dA: 1.971; gA: 0.000;idtA: 0.019; ;dB: 1.262; gB: 0.009;cA: 0.041; cB: 0.031:   0%|          | 26/500000 [00:20<424:00:50,  3.05s/it]
dA: 1.971; gA: 0.000;idtA: 0.019; ;dB: 1.262; gB: 0.009;cA: 0.041; cB: 0.031:   0%|          | 27/500000 [00:21<420:43:13,  3.03s/it]
dA: 2.232; gA: 0.003;idtA: 0.019; ;dB: 0.568; gB: 0.011;cA: 0.036; cB: 0.032:   0%|          | 27/500000 [00:21<420:43:13,  3.03s/it]
dA: 2.232; gA: 0.003;idtA: 0.019; ;dB: 0.568; gB: 0.011;cA: 0.036; cB: 0.032:   0%|          | 28/500000 [00:22<417:28:43,  3.01s/it]
