masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck11
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<545:30:48,  3.93s/it]
dA: 0.990; gA: 0.000;idtA: 0.021; ;dB: 0.699; gB: -0.001;cA: 0.073; cB: 0.100:   0%|          | 1/500000 [00:03<545:30:48,  3.93s/it]
dA: 0.990; gA: 0.000;idtA: 0.021; ;dB: 0.699; gB: -0.001;cA: 0.073; cB: 0.100:   0%|          | 2/500000 [00:04<540:51:39,  3.89s/it]
dA: 1.037; gA: 0.011;idtA: 0.034; ;dB: 0.315; gB: 0.010;cA: 0.070; cB: 0.086:   0%|          | 2/500000 [00:04<540:51:39,  3.89s/it] 
dA: 1.037; gA: 0.011;idtA: 0.034; ;dB: 0.315; gB: 0.010;cA: 0.070; cB: 0.086:   0%|          | 3/500000 [00:05<536:14:12,  3.86s/it]
dA: 1.068; gA: -0.007;idtA: 0.020; ;dB: 0.477; gB: 0.008;cA: 0.034; cB: 0.038:   0%|          | 3/500000 [00:05<536:14:12,  3.86s/it]
dA: 1.068; gA: -0.007;idtA: 0.020; ;dB: 0.477; gB: 0.008;cA: 0.034; cB: 0.038:   0%|          | 4/500000 [00:05<531:39:34,  3.83s/it]
dA: 0.845; gA: 0.014;idtA: 0.032; ;dB: 0.423; gB: -0.001;cA: 0.120; cB: 0.147:   0%|          | 4/500000 [00:05<531:39:34,  3.83s/it]
dA: 0.845; gA: 0.014;idtA: 0.032; ;dB: 0.423; gB: -0.001;cA: 0.120; cB: 0.147:   0%|          | 5/500000 [00:06<527:06:50,  3.80s/it]
dA: 0.974; gA: 0.002;idtA: 0.030; ;dB: 0.546; gB: 0.018;cA: 0.076; cB: 0.057:   0%|          | 5/500000 [00:06<527:06:50,  3.80s/it] 
dA: 0.974; gA: 0.002;idtA: 0.030; ;dB: 0.546; gB: 0.018;cA: 0.076; cB: 0.057:   0%|          | 6/500000 [00:06<522:36:10,  3.76s/it]
dA: 0.904; gA: -0.002;idtA: 0.022; ;dB: 0.299; gB: 0.006;cA: 0.040; cB: 0.034:   0%|          | 6/500000 [00:06<522:36:10,  3.76s/it]
dA: 0.904; gA: -0.002;idtA: 0.022; ;dB: 0.299; gB: 0.006;cA: 0.040; cB: 0.034:   0%|          | 7/500000 [00:07<518:09:06,  3.73s/it]
dA: 1.072; gA: 0.002;idtA: 0.035; ;dB: 0.204; gB: 0.007;cA: 0.060; cB: 0.082:   0%|          | 7/500000 [00:07<518:09:06,  3.73s/it] 
dA: 1.072; gA: 0.002;idtA: 0.035; ;dB: 0.204; gB: 0.007;cA: 0.060; cB: 0.082:   0%|          | 8/500000 [00:07<513:44:29,  3.70s/it]
dA: 1.060; gA: 0.001;idtA: 0.024; ;dB: 0.506; gB: 0.008;cA: 0.045; cB: 0.044:   0%|          | 8/500000 [00:07<513:44:29,  3.70s/it]
dA: 1.060; gA: 0.001;idtA: 0.024; ;dB: 0.506; gB: 0.008;cA: 0.045; cB: 0.044:   0%|          | 9/500000 [00:08<509:22:53,  3.67s/it]
dA: 0.773; gA: 0.021;idtA: 0.017; ;dB: 0.393; gB: 0.014;cA: 0.022; cB: 0.026:   0%|          | 9/500000 [00:08<509:22:53,  3.67s/it]
dA: 0.773; gA: 0.021;idtA: 0.017; ;dB: 0.393; gB: 0.014;cA: 0.022; cB: 0.026:   0%|          | 10/500000 [00:08<505:03:31,  3.64s/it]
dA: 0.865; gA: -0.001;idtA: 0.034; ;dB: 0.923; gB: 0.010;cA: 0.072; cB: 0.097:   0%|          | 10/500000 [00:08<505:03:31,  3.64s/it]
dA: 0.865; gA: -0.001;idtA: 0.034; ;dB: 0.923; gB: 0.010;cA: 0.072; cB: 0.097:   0%|          | 11/500000 [00:09<500:46:42,  3.61s/it]
dA: 0.985; gA: 0.007;idtA: 0.018; ;dB: 0.700; gB: 0.004;cA: 0.054; cB: 0.098:   0%|          | 11/500000 [00:09<500:46:42,  3.61s/it] 
dA: 0.985; gA: 0.007;idtA: 0.018; ;dB: 0.700; gB: 0.004;cA: 0.054; cB: 0.098:   0%|          | 12/500000 [00:10<496:32:40,  3.58s/it]
dA: 1.056; gA: -0.003;idtA: 0.014; ;dB: 0.697; gB: 0.009;cA: 0.029; cB: 0.028:   0%|          | 12/500000 [00:10<496:32:40,  3.58s/it]
dA: 1.056; gA: -0.003;idtA: 0.014; ;dB: 0.697; gB: 0.009;cA: 0.029; cB: 0.028:   0%|          | 13/500000 [00:10<492:21:29,  3.55s/it]
dA: 0.959; gA: 0.003;idtA: 0.013; ;dB: 0.789; gB: -0.008;cA: 0.025; cB: 0.033:   0%|          | 13/500000 [00:10<492:21:29,  3.55s/it]
dA: 0.959; gA: 0.003;idtA: 0.013; ;dB: 0.789; gB: -0.008;cA: 0.025; cB: 0.033:   0%|          | 14/500000 [00:11<488:12:23,  3.52s/it]
dA: 0.949; gA: 0.006;idtA: 0.039; ;dB: 0.556; gB: 0.007;cA: 0.063; cB: 0.071:   0%|          | 14/500000 [00:11<488:12:23,  3.52s/it] 
dA: 0.949; gA: 0.006;idtA: 0.039; ;dB: 0.556; gB: 0.007;cA: 0.063; cB: 0.071:   0%|          | 15/500000 [00:11<484:05:59,  3.49s/it]
