masks are: empty
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck13
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<487:01:30,  3.51s/it]
dA: 0.797; gA: 0.014;idtA: 0.021; ;dB: 0.516; gB: 0.013;cA: 0.095; cB: 0.101:   0%|          | 1/500000 [00:03<487:01:30,  3.51s/it]
dA: 0.797; gA: 0.014;idtA: 0.021; ;dB: 0.516; gB: 0.013;cA: 0.095; cB: 0.101:   0%|          | 2/500000 [00:04<482:57:14,  3.48s/it]
dA: 0.724; gA: 0.007;idtA: 0.034; ;dB: 0.370; gB: 0.001;cA: 0.065; cB: 0.111:   0%|          | 2/500000 [00:04<482:57:14,  3.48s/it]
dA: 0.724; gA: 0.007;idtA: 0.034; ;dB: 0.370; gB: 0.001;cA: 0.065; cB: 0.111:   0%|          | 3/500000 [00:04<478:53:33,  3.45s/it]
dA: 0.856; gA: 0.007;idtA: 0.022; ;dB: 0.373; gB: 0.009;cA: 0.041; cB: 0.045:   0%|          | 3/500000 [00:04<478:53:33,  3.45s/it]
dA: 0.856; gA: 0.007;idtA: 0.022; ;dB: 0.373; gB: 0.009;cA: 0.041; cB: 0.045:   0%|          | 4/500000 [00:05<474:51:44,  3.42s/it]
dA: 0.321; gA: 0.039;idtA: 0.039; ;dB: 0.161; gB: 0.024;cA: 0.104; cB: 0.138:   0%|          | 4/500000 [00:05<474:51:44,  3.42s/it]
dA: 0.321; gA: 0.039;idtA: 0.039; ;dB: 0.161; gB: 0.024;cA: 0.104; cB: 0.138:   0%|          | 5/500000 [00:05<470:52:41,  3.39s/it]
dA: 0.418; gA: 0.011;idtA: 0.020; ;dB: 0.384; gB: 0.020;cA: 0.034; cB: 0.038:   0%|          | 5/500000 [00:05<470:52:41,  3.39s/it]
dA: 0.418; gA: 0.011;idtA: 0.020; ;dB: 0.384; gB: 0.020;cA: 0.034; cB: 0.038:   0%|          | 6/500000 [00:06<466:56:13,  3.36s/it]
dA: 0.503; gA: 0.037;idtA: 0.027; ;dB: 0.347; gB: 0.019;cA: 0.053; cB: 0.110:   0%|          | 6/500000 [00:06<466:56:13,  3.36s/it]
dA: 0.503; gA: 0.037;idtA: 0.027; ;dB: 0.347; gB: 0.019;cA: 0.053; cB: 0.110:   0%|          | 7/500000 [00:06<463:01:34,  3.33s/it]
dA: 0.450; gA: -0.003;idtA: 0.037; ;dB: 0.346; gB: 0.007;cA: 0.052; cB: 0.052:   0%|          | 7/500000 [00:06<463:01:34,  3.33s/it]
dA: 0.450; gA: -0.003;idtA: 0.037; ;dB: 0.346; gB: 0.007;cA: 0.052; cB: 0.052:   0%|          | 8/500000 [00:07<459:09:52,  3.31s/it]
dA: 0.965; gA: 0.019;idtA: 0.021; ;dB: 0.509; gB: 0.014;cA: 0.038; cB: 0.037:   0%|          | 8/500000 [00:07<459:09:52,  3.31s/it] 
dA: 0.965; gA: 0.019;idtA: 0.021; ;dB: 0.509; gB: 0.014;cA: 0.038; cB: 0.037:   0%|          | 9/500000 [00:07<455:19:34,  3.28s/it]
dA: 1.052; gA: 0.025;idtA: 0.029; ;dB: 0.433; gB: 0.019;cA: 0.047; cB: 0.048:   0%|          | 9/500000 [00:07<455:19:34,  3.28s/it]
dA: 1.052; gA: 0.025;idtA: 0.029; ;dB: 0.433; gB: 0.019;cA: 0.047; cB: 0.048:   0%|          | 10/500000 [00:08<451:32:45,  3.25s/it]
dA: 0.667; gA: -0.003;idtA: 0.046; ;dB: 0.807; gB: 0.005;cA: 0.076; cB: 0.068:   0%|          | 10/500000 [00:08<451:32:45,  3.25s/it]
dA: 0.667; gA: -0.003;idtA: 0.046; ;dB: 0.807; gB: 0.005;cA: 0.076; cB: 0.068:   0%|          | 11/500000 [00:09<447:47:42,  3.22s/it]
dA: 0.866; gA: 0.009;idtA: 0.029; ;dB: 0.648; gB: 0.008;cA: 0.061; cB: 0.051:   0%|          | 11/500000 [00:09<447:47:42,  3.22s/it] 
dA: 0.866; gA: 0.009;idtA: 0.029; ;dB: 0.648; gB: 0.008;cA: 0.061; cB: 0.051:   0%|          | 12/500000 [00:09<444:05:20,  3.20s/it]
dA: 0.781; gA: -0.002;idtA: 0.021; ;dB: 0.773; gB: -0.004;cA: 0.041; cB: 0.039:   0%|          | 12/500000 [00:09<444:05:20,  3.20s/it]
dA: 0.781; gA: -0.002;idtA: 0.021; ;dB: 0.773; gB: -0.004;cA: 0.041; cB: 0.039:   0%|          | 13/500000 [00:10<440:27:24,  3.17s/it]
dA: 1.389; gA: 0.040;idtA: 0.054; ;dB: 0.985; gB: 0.014;cA: 0.091; cB: 0.090:   0%|          | 13/500000 [00:10<440:27:24,  3.17s/it]  
