masks are: empty
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck14
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<502:38:25,  3.62s/it]
dA: 0.783; gA: 0.015;idtA: 0.020; ;dB: 0.671; gB: -0.001;cA: 0.075; cB: 0.115:   0%|          | 1/500000 [00:03<502:38:25,  3.62s/it]
dA: 0.783; gA: 0.015;idtA: 0.020; ;dB: 0.671; gB: -0.001;cA: 0.075; cB: 0.115:   0%|          | 2/500000 [00:04<498:23:59,  3.59s/it]
dA: 0.989; gA: 0.011;idtA: 0.039; ;dB: 0.272; gB: 0.013;cA: 0.073; cB: 0.106:   0%|          | 2/500000 [00:04<498:23:59,  3.59s/it] 
dA: 0.989; gA: 0.011;idtA: 0.039; ;dB: 0.272; gB: 0.013;cA: 0.073; cB: 0.106:   0%|          | 3/500000 [00:04<494:11:11,  3.56s/it]
dA: 1.018; gA: 0.008;idtA: 0.021; ;dB: 0.496; gB: 0.012;cA: 0.035; cB: 0.036:   0%|          | 3/500000 [00:04<494:11:11,  3.56s/it]
dA: 1.018; gA: 0.008;idtA: 0.021; ;dB: 0.496; gB: 0.012;cA: 0.035; cB: 0.036:   0%|          | 4/500000 [00:05<490:00:08,  3.53s/it]
dA: 0.626; gA: 0.024;idtA: 0.038; ;dB: 0.272; gB: -0.005;cA: 0.092; cB: 0.122:   0%|          | 4/500000 [00:05<490:00:08,  3.53s/it]
dA: 0.626; gA: 0.024;idtA: 0.038; ;dB: 0.272; gB: -0.005;cA: 0.092; cB: 0.122:   0%|          | 5/500000 [00:05<485:51:55,  3.50s/it]
dA: 0.760; gA: 0.003;idtA: 0.030; ;dB: 0.761; gB: 0.020;cA: 0.044; cB: 0.043:   0%|          | 5/500000 [00:05<485:51:55,  3.50s/it] 
dA: 0.760; gA: 0.003;idtA: 0.030; ;dB: 0.761; gB: 0.020;cA: 0.044; cB: 0.043:   0%|          | 6/500000 [00:06<481:46:57,  3.47s/it]
dA: 0.433; gA: 0.024;idtA: 0.033; ;dB: 0.201; gB: 0.013;cA: 0.061; cB: 0.057:   0%|          | 6/500000 [00:06<481:46:57,  3.47s/it]
dA: 0.433; gA: 0.024;idtA: 0.033; ;dB: 0.201; gB: 0.013;cA: 0.061; cB: 0.057:   0%|          | 7/500000 [00:06<477:44:14,  3.44s/it]
dA: 0.535; gA: -0.010;idtA: 0.036; ;dB: 0.334; gB: -0.006;cA: 0.050; cB: 0.057:   0%|          | 7/500000 [00:06<477:44:14,  3.44s/it]
dA: 0.535; gA: -0.010;idtA: 0.036; ;dB: 0.334; gB: -0.006;cA: 0.050; cB: 0.057:   0%|          | 8/500000 [00:07<473:43:50,  3.41s/it]
dA: 1.515; gA: 0.018;idtA: 0.027; ;dB: 0.700; gB: 0.015;cA: 0.041; cB: 0.044:   0%|          | 8/500000 [00:07<473:43:50,  3.41s/it]  
dA: 1.515; gA: 0.018;idtA: 0.027; ;dB: 0.700; gB: 0.015;cA: 0.041; cB: 0.044:   0%|          | 9/500000 [00:08<469:46:05,  3.38s/it]
dA: 1.155; gA: -0.004;idtA: 0.020; ;dB: 0.483; gB: -0.004;cA: 0.033; cB: 0.032:   0%|          | 9/500000 [00:08<469:46:05,  3.38s/it]
dA: 1.155; gA: -0.004;idtA: 0.020; ;dB: 0.483; gB: -0.004;cA: 0.033; cB: 0.032:   0%|          | 10/500000 [00:08<465:50:42,  3.35s/it]
dA: 0.968; gA: 0.014;idtA: 0.052; ;dB: 0.469; gB: 0.010;cA: 0.078; cB: 0.083:   0%|          | 10/500000 [00:08<465:50:42,  3.35s/it]  
dA: 0.968; gA: 0.014;idtA: 0.052; ;dB: 0.469; gB: 0.010;cA: 0.078; cB: 0.083:   0%|          | 11/500000 [00:09<461:57:30,  3.33s/it]
dA: 0.612; gA: 0.004;idtA: 0.029; ;dB: 0.529; gB: 0.010;cA: 0.056; cB: 0.058:   0%|          | 11/500000 [00:09<461:57:30,  3.33s/it]
dA: 0.612; gA: 0.004;idtA: 0.029; ;dB: 0.529; gB: 0.010;cA: 0.056; cB: 0.058:   0%|          | 12/500000 [00:09<458:05:50,  3.30s/it]
dA: 0.587; gA: 0.022;idtA: 0.022; ;dB: 0.386; gB: 0.010;cA: 0.036; cB: 0.034:   0%|          | 12/500000 [00:09<458:05:50,  3.30s/it]
dA: 0.587; gA: 0.022;idtA: 0.022; ;dB: 0.386; gB: 0.010;cA: 0.036; cB: 0.034:   0%|          | 13/500000 [00:10<454:16:29,  3.27s/it]
dA: 1.284; gA: -0.006;idtA: 0.024; ;dB: 0.530; gB: -0.002;cA: 0.043; cB: 0.043:   0%|          | 13/500000 [00:10<454:16:29,  3.27s/it]
