masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck17
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<473:38:06,  3.41s/it]
dA: 1.220; gA: -0.000;idtA: 0.022; ;dB: 0.570; gB: 0.005;cA: 0.077; cB: 0.000:   0%|          | 1/500000 [00:03<473:38:06,  3.41s/it]
dA: 1.220; gA: -0.000;idtA: 0.022; ;dB: 0.570; gB: 0.005;cA: 0.077; cB: 0.000:   0%|          | 2/500000 [00:03<469:39:52,  3.38s/it]
dA: 0.963; gA: 0.010;idtA: 0.030; ;dB: 0.273; gB: 0.007;cA: 0.089; cB: 0.000:   0%|          | 2/500000 [00:03<469:39:52,  3.38s/it] 
dA: 0.963; gA: 0.010;idtA: 0.030; ;dB: 0.273; gB: 0.007;cA: 0.089; cB: 0.000:   0%|          | 3/500000 [00:04<465:43:12,  3.35s/it]
dA: 0.825; gA: 0.003;idtA: 0.023; ;dB: 0.359; gB: 0.011;cA: 0.038; cB: 0.000:   0%|          | 3/500000 [00:04<465:43:12,  3.35s/it]
dA: 0.825; gA: 0.003;idtA: 0.023; ;dB: 0.359; gB: 0.011;cA: 0.038; cB: 0.000:   0%|          | 4/500000 [00:05<461:48:56,  3.33s/it]
dA: 0.902; gA: 0.014;idtA: 0.038; ;dB: 0.720; gB: -0.015;cA: 0.112; cB: 0.000:   0%|          | 4/500000 [00:05<461:48:56,  3.33s/it]
dA: 0.902; gA: 0.014;idtA: 0.038; ;dB: 0.720; gB: -0.015;cA: 0.112; cB: 0.000:   0%|          | 5/500000 [00:05<457:56:47,  3.30s/it]
dA: 0.910; gA: -0.002;idtA: 0.024; ;dB: 0.648; gB: 0.022;cA: 0.052; cB: 0.000:   0%|          | 5/500000 [00:05<457:56:47,  3.30s/it]
dA: 0.910; gA: -0.002;idtA: 0.024; ;dB: 0.648; gB: 0.022;cA: 0.052; cB: 0.000:   0%|          | 6/500000 [00:06<454:07:12,  3.27s/it]
dA: 0.949; gA: 0.008;idtA: 0.021; ;dB: 0.286; gB: 0.015;cA: 0.045; cB: 0.000:   0%|          | 6/500000 [00:06<454:07:12,  3.27s/it] 
dA: 0.949; gA: 0.008;idtA: 0.021; ;dB: 0.286; gB: 0.015;cA: 0.045; cB: 0.000:   0%|          | 7/500000 [00:06<450:19:48,  3.24s/it]
dA: 1.043; gA: -0.003;idtA: 0.036; ;dB: 0.415; gB: 0.004;cA: 0.057; cB: 0.000:   0%|          | 7/500000 [00:06<450:19:48,  3.24s/it]
dA: 1.043; gA: -0.003;idtA: 0.036; ;dB: 0.415; gB: 0.004;cA: 0.057; cB: 0.000:   0%|          | 8/500000 [00:07<446:34:44,  3.22s/it]
dA: 0.800; gA: -0.001;idtA: 0.021; ;dB: 0.602; gB: 0.011;cA: 0.047; cB: 0.000:   0%|          | 8/500000 [00:07<446:34:44,  3.22s/it]
dA: 0.800; gA: -0.001;idtA: 0.021; ;dB: 0.602; gB: 0.011;cA: 0.047; cB: 0.000:   0%|          | 9/500000 [00:07<442:51:45,  3.19s/it]
dA: 1.043; gA: 0.006;idtA: 0.018; ;dB: 0.806; gB: 0.003;cA: 0.028; cB: 0.000:   0%|          | 9/500000 [00:07<442:51:45,  3.19s/it] 
dA: 1.043; gA: 0.006;idtA: 0.018; ;dB: 0.806; gB: 0.003;cA: 0.028; cB: 0.000:   0%|          | 10/500000 [00:08<439:11:08,  3.16s/it]
dA: 0.925; gA: 0.003;idtA: 0.039; ;dB: 0.600; gB: 0.009;cA: 0.065; cB: 0.000:   0%|          | 10/500000 [00:08<439:11:08,  3.16s/it]
dA: 0.925; gA: 0.003;idtA: 0.039; ;dB: 0.600; gB: 0.009;cA: 0.065; cB: 0.000:   0%|          | 11/500000 [00:08<435:32:31,  3.14s/it]
dA: 1.047; gA: 0.002;idtA: 0.023; ;dB: 0.772; gB: 0.008;cA: 0.082; cB: 0.000:   0%|          | 11/500000 [00:08<435:32:31,  3.14s/it]
dA: 1.047; gA: 0.002;idtA: 0.023; ;dB: 0.772; gB: 0.008;cA: 0.082; cB: 0.000:   0%|          | 12/500000 [00:09<431:56:08,  3.11s/it]
dA: 0.962; gA: -0.001;idtA: 0.029; ;dB: 0.713; gB: 0.011;cA: 0.046; cB: 0.000:   0%|          | 12/500000 [00:09<431:56:08,  3.11s/it]
dA: 0.962; gA: -0.001;idtA: 0.029; ;dB: 0.713; gB: 0.011;cA: 0.046; cB: 0.000:   0%|          | 13/500000 [00:09<428:22:03,  3.08s/it]
dA: 1.051; gA: 0.007;idtA: 0.041; ;dB: 0.351; gB: 0.008;cA: 0.087; cB: 0.000:   0%|          | 13/500000 [00:09<428:22:03,  3.08s/it] 
dA: 1.051; gA: 0.007;idtA: 0.041; ;dB: 0.351; gB: 0.008;cA: 0.087; cB: 0.000:   0%|          | 14/500000 [00:10<424:50:29,  3.06s/it]
dA: 0.952; gA: 0.000;idtA: 0.048; ;dB: 0.885; gB: 0.011;cA: 0.078; cB: 0.000:   0%|          | 14/500000 [00:10<424:50:29,  3.06s/it]
dA: 0.952; gA: 0.000;idtA: 0.048; ;dB: 0.885; gB: 0.011;cA: 0.078; cB: 0.000:   0%|          | 15/500000 [00:11<421:20:32,  3.03s/it]
dA: 0.952; gA: 0.004;idtA: 0.025; ;dB: 0.216; gB: 0.018;cA: 0.066; cB: 0.000:   0%|          | 15/500000 [00:11<421:20:32,  3.03s/it]
dA: 0.952; gA: 0.004;idtA: 0.025; ;dB: 0.216; gB: 0.018;cA: 0.066; cB: 0.000:   0%|          | 16/500000 [00:11<417:52:35,  3.01s/it]
dA: 0.786; gA: -0.006;idtA: 0.046; ;dB: 0.461; gB: 0.002;cA: 0.082; cB: 0.000:   0%|          | 16/500000 [00:11<417:52:35,  3.01s/it]
dA: 0.786; gA: -0.006;idtA: 0.046; ;dB: 0.461; gB: 0.002;cA: 0.082; cB: 0.000:   0%|          | 17/500000 [00:12<414:26:57,  2.98s/it]
dA: 1.082; gA: 0.008;idtA: 0.019; ;dB: 0.416; gB: 0.013;cA: 0.035; cB: 0.000:   0%|          | 17/500000 [00:12<414:26:57,  2.98s/it] 
dA: 1.082; gA: 0.008;idtA: 0.019; ;dB: 0.416; gB: 0.013;cA: 0.035; cB: 0.000:   0%|          | 18/500000 [00:12<411:03:31,  2.96s/it]
dA: 0.926; gA: 0.003;idtA: 0.030; ;dB: 0.622; gB: 0.017;cA: 0.078; cB: 0.000:   0%|          | 18/500000 [00:12<411:03:31,  2.96s/it]
dA: 0.926; gA: 0.003;idtA: 0.030; ;dB: 0.622; gB: 0.017;cA: 0.078; cB: 0.000:   0%|          | 19/500000 [00:13<407:42:05,  2.94s/it]
dA: 0.985; gA: 0.003;idtA: 0.027; ;dB: 0.600; gB: 0.013;cA: 0.077; cB: 0.000:   0%|          | 19/500000 [00:13<407:42:05,  2.94s/it]
dA: 0.985; gA: 0.003;idtA: 0.027; ;dB: 0.600; gB: 0.013;cA: 0.077; cB: 0.000:   0%|          | 20/500000 [00:13<404:22:31,  2.91s/it]
dA: 0.926; gA: 0.003;idtA: 0.019; ;dB: 0.555; gB: 0.019;cA: 0.053; cB: 0.000:   0%|          | 20/500000 [00:13<404:22:31,  2.91s/it]
dA: 0.926; gA: 0.003;idtA: 0.019; ;dB: 0.555; gB: 0.019;cA: 0.053; cB: 0.000:   0%|          | 21/500000 [00:14<401:10:28,  2.89s/it]
dA: 0.903; gA: 0.003;idtA: 0.017; ;dB: 0.426; gB: 0.015;cA: 0.031; cB: 0.000:   0%|          | 21/500000 [00:14<401:10:28,  2.89s/it]
dA: 0.903; gA: 0.003;idtA: 0.017; ;dB: 0.426; gB: 0.015;cA: 0.031; cB: 0.000:   0%|          | 22/500000 [00:14<397:54:46,  2.87s/it]
dA: 0.898; gA: -0.009;idtA: 0.030; ;dB: 0.316; gB: 0.010;cA: 0.107; cB: 0.000:   0%|          | 22/500000 [00:14<397:54:46,  2.87s/it]
dA: 0.898; gA: -0.009;idtA: 0.030; ;dB: 0.316; gB: 0.010;cA: 0.107; cB: 0.000:   0%|          | 23/500000 [00:15<394:41:02,  2.84s/it]
dA: 0.884; gA: 0.011;idtA: 0.033; ;dB: 0.201; gB: 0.017;cA: 0.074; cB: 0.000:   0%|          | 23/500000 [00:15<394:41:02,  2.84s/it] 
dA: 0.884; gA: 0.011;idtA: 0.033; ;dB: 0.201; gB: 0.017;cA: 0.074; cB: 0.000:   0%|          | 24/500000 [00:15<391:29:14,  2.82s/it]
dA: 1.027; gA: -0.000;idtA: 0.020; ;dB: 0.339; gB: 0.014;cA: 0.058; cB: 0.000:   0%|          | 24/500000 [00:15<391:29:14,  2.82s/it]
dA: 1.027; gA: -0.000;idtA: 0.020; ;dB: 0.339; gB: 0.014;cA: 0.058; cB: 0.000:   0%|          | 25/500000 [00:16<388:19:21,  2.80s/it]
dA: 1.107; gA: 0.001;idtA: 0.029; ;dB: 0.726; gB: 0.002;cA: 0.040; cB: 0.000:   0%|          | 25/500000 [00:16<388:19:21,  2.80s/it] 
dA: 1.107; gA: 0.001;idtA: 0.029; ;dB: 0.726; gB: 0.002;cA: 0.040; cB: 0.000:   0%|          | 26/500000 [00:17<385:11:29,  2.77s/it]
dA: 1.066; gA: 0.008;idtA: 0.025; ;dB: 0.436; gB: 0.010;cA: 0.069; cB: 0.000:   0%|          | 26/500000 [00:17<385:11:29,  2.77s/it]
dA: 1.066; gA: 0.008;idtA: 0.025; ;dB: 0.436; gB: 0.010;cA: 0.069; cB: 0.000:   0%|          | 27/500000 [00:17<382:05:21,  2.75s/it]
dA: 1.026; gA: -0.002;idtA: 0.015; ;dB: 1.036; gB: 0.004;cA: 0.029; cB: 0.000:   0%|          | 27/500000 [00:17<382:05:21,  2.75s/it]
dA: 1.026; gA: -0.002;idtA: 0.015; ;dB: 1.036; gB: 0.004;cA: 0.029; cB: 0.000:   0%|          | 28/500000 [00:18<379:01:17,  2.73s/it]
