masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck18
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<537:14:57,  3.87s/it]
dA: 1.102; gA: -0.001;idtA: 0.019; ;dB: 0.477; gB: 0.010;cA: 0.000; cB: 0.118:   0%|          | 1/500000 [00:03<537:14:57,  3.87s/it]
dA: 1.102; gA: -0.001;idtA: 0.019; ;dB: 0.477; gB: 0.010;cA: 0.000; cB: 0.118:   0%|          | 2/500000 [00:04<532:38:52,  3.84s/it]
dA: 1.191; gA: -0.003;idtA: 0.033; ;dB: 0.356; gB: 0.000;cA: 0.000; cB: 0.091:   0%|          | 2/500000 [00:04<532:38:52,  3.84s/it]
dA: 1.191; gA: -0.003;idtA: 0.033; ;dB: 0.356; gB: 0.000;cA: 0.000; cB: 0.091:   0%|          | 3/500000 [00:04<528:04:37,  3.80s/it]
dA: 1.077; gA: 0.015;idtA: 0.022; ;dB: 0.345; gB: 0.005;cA: 0.000; cB: 0.039:   0%|          | 3/500000 [00:04<528:04:37,  3.80s/it] 
dA: 1.077; gA: 0.015;idtA: 0.022; ;dB: 0.345; gB: 0.005;cA: 0.000; cB: 0.039:   0%|          | 4/500000 [00:05<523:33:14,  3.77s/it]
dA: 0.902; gA: -0.002;idtA: 0.037; ;dB: 0.489; gB: 0.001;cA: 0.000; cB: 0.124:   0%|          | 4/500000 [00:05<523:33:14,  3.77s/it]
dA: 0.902; gA: -0.002;idtA: 0.037; ;dB: 0.489; gB: 0.001;cA: 0.000; cB: 0.124:   0%|          | 5/500000 [00:06<519:04:02,  3.74s/it]
dA: 0.994; gA: 0.003;idtA: 0.029; ;dB: 0.589; gB: 0.020;cA: 0.000; cB: 0.042:   0%|          | 5/500000 [00:06<519:04:02,  3.74s/it] 
dA: 0.994; gA: 0.003;idtA: 0.029; ;dB: 0.589; gB: 0.020;cA: 0.000; cB: 0.042:   0%|          | 6/500000 [00:06<514:37:59,  3.71s/it]
dA: 0.896; gA: 0.006;idtA: 0.027; ;dB: 0.265; gB: 0.006;cA: 0.000; cB: 0.055:   0%|          | 6/500000 [00:06<514:37:59,  3.71s/it]
dA: 0.896; gA: 0.006;idtA: 0.027; ;dB: 0.265; gB: 0.006;cA: 0.000; cB: 0.055:   0%|          | 7/500000 [00:07<510:14:28,  3.67s/it]
dA: 1.028; gA: -0.001;idtA: 0.034; ;dB: 0.328; gB: 0.011;cA: 0.000; cB: 0.059:   0%|          | 7/500000 [00:07<510:14:28,  3.67s/it]
dA: 1.028; gA: -0.001;idtA: 0.034; ;dB: 0.328; gB: 0.011;cA: 0.000; cB: 0.059:   0%|          | 8/500000 [00:07<505:53:35,  3.64s/it]
dA: 0.833; gA: 0.008;idtA: 0.037; ;dB: 0.628; gB: -0.001;cA: 0.000; cB: 0.059:   0%|          | 8/500000 [00:07<505:53:35,  3.64s/it]
dA: 0.833; gA: 0.008;idtA: 0.037; ;dB: 0.628; gB: -0.001;cA: 0.000; cB: 0.059:   0%|          | 9/500000 [00:08<501:35:08,  3.61s/it]
dA: 1.032; gA: 0.004;idtA: 0.035; ;dB: 0.475; gB: 0.020;cA: 0.000; cB: 0.059:   0%|          | 9/500000 [00:08<501:35:08,  3.61s/it] 
dA: 1.032; gA: 0.004;idtA: 0.035; ;dB: 0.475; gB: 0.020;cA: 0.000; cB: 0.059:   0%|          | 10/500000 [00:08<497:19:16,  3.58s/it]
dA: 1.180; gA: 0.002;idtA: 0.040; ;dB: 0.693; gB: 0.010;cA: 0.000; cB: 0.084:   0%|          | 10/500000 [00:08<497:19:16,  3.58s/it]
dA: 1.180; gA: 0.002;idtA: 0.040; ;dB: 0.693; gB: 0.010;cA: 0.000; cB: 0.084:   0%|          | 11/500000 [00:09<493:06:10,  3.55s/it]
dA: 0.936; gA: 0.003;idtA: 0.029; ;dB: 0.471; gB: 0.008;cA: 0.000; cB: 0.065:   0%|          | 11/500000 [00:09<493:06:10,  3.55s/it]
dA: 0.936; gA: 0.003;idtA: 0.029; ;dB: 0.471; gB: 0.008;cA: 0.000; cB: 0.065:   0%|          | 12/500000 [00:09<488:55:31,  3.52s/it]
dA: 0.972; gA: -0.000;idtA: 0.016; ;dB: 0.649; gB: 0.002;cA: 0.000; cB: 0.024:   0%|          | 12/500000 [00:09<488:55:31,  3.52s/it]
dA: 0.972; gA: -0.000;idtA: 0.016; ;dB: 0.649; gB: 0.002;cA: 0.000; cB: 0.024:   0%|          | 13/500000 [00:10<484:47:17,  3.49s/it]
dA: 0.967; gA: 0.005;idtA: 0.019; ;dB: 0.649; gB: -0.001;cA: 0.000; cB: 0.033:   0%|          | 13/500000 [00:10<484:47:17,  3.49s/it]
dA: 0.967; gA: 0.005;idtA: 0.019; ;dB: 0.649; gB: -0.001;cA: 0.000; cB: 0.033:   0%|          | 14/500000 [00:10<480:41:48,  3.46s/it]
dA: 0.907; gA: 0.000;idtA: 0.039; ;dB: 0.362; gB: 0.018;cA: 0.000; cB: 0.057:   0%|          | 14/500000 [00:10<480:41:48,  3.46s/it] 
dA: 0.907; gA: 0.000;idtA: 0.039; ;dB: 0.362; gB: 0.018;cA: 0.000; cB: 0.057:   0%|          | 15/500000 [00:11<476:38:40,  3.43s/it]
dA: 0.907; gA: 0.009;idtA: 0.025; ;dB: 0.318; gB: 0.009;cA: 0.000; cB: 0.049:   0%|          | 15/500000 [00:11<476:38:40,  3.43s/it]
dA: 0.907; gA: 0.009;idtA: 0.025; ;dB: 0.318; gB: 0.009;cA: 0.000; cB: 0.049:   0%|          | 16/500000 [00:12<472:37:48,  3.40s/it]
dA: 0.907; gA: 0.001;idtA: 0.051; ;dB: 0.375; gB: 0.021;cA: 0.000; cB: 0.084:   0%|          | 16/500000 [00:12<472:37:48,  3.40s/it]
dA: 0.907; gA: 0.001;idtA: 0.051; ;dB: 0.375; gB: 0.021;cA: 0.000; cB: 0.084:   0%|          | 17/500000 [00:12<468:39:15,  3.37s/it]
dA: 0.932; gA: 0.007;idtA: 0.021; ;dB: 0.438; gB: 0.012;cA: 0.000; cB: 0.047:   0%|          | 17/500000 [00:12<468:39:15,  3.37s/it]
dA: 0.932; gA: 0.007;idtA: 0.021; ;dB: 0.438; gB: 0.012;cA: 0.000; cB: 0.047:   0%|          | 18/500000 [00:13<464:43:16,  3.35s/it]
dA: 1.126; gA: -0.005;idtA: 0.032; ;dB: 0.547; gB: 0.015;cA: 0.000; cB: 0.114:   0%|          | 18/500000 [00:13<464:43:16,  3.35s/it]
dA: 1.126; gA: -0.005;idtA: 0.032; ;dB: 0.547; gB: 0.015;cA: 0.000; cB: 0.114:   0%|          | 19/500000 [00:13<460:49:50,  3.32s/it]
dA: 0.970; gA: 0.005;idtA: 0.026; ;dB: 0.337; gB: 0.011;cA: 0.000; cB: 0.043:   0%|          | 19/500000 [00:13<460:49:50,  3.32s/it] 
dA: 0.970; gA: 0.005;idtA: 0.026; ;dB: 0.337; gB: 0.011;cA: 0.000; cB: 0.043:   0%|          | 20/500000 [00:14<456:58:46,  3.29s/it]
dA: 0.921; gA: 0.005;idtA: 0.020; ;dB: 0.832; gB: 0.016;cA: 0.000; cB: 0.200:   0%|          | 20/500000 [00:14<456:58:46,  3.29s/it]
dA: 0.921; gA: 0.005;idtA: 0.020; ;dB: 0.832; gB: 0.016;cA: 0.000; cB: 0.200:   0%|          | 21/500000 [00:14<453:09:56,  3.26s/it]
dA: 0.848; gA: 0.005;idtA: 0.025; ;dB: 0.230; gB: 0.007;cA: 0.000; cB: 0.051:   0%|          | 21/500000 [00:14<453:09:56,  3.26s/it]
dA: 0.848; gA: 0.005;idtA: 0.025; ;dB: 0.230; gB: 0.007;cA: 0.000; cB: 0.051:   0%|          | 22/500000 [00:15<449:23:03,  3.24s/it]
dA: 1.053; gA: -0.004;idtA: 0.036; ;dB: 0.490; gB: 0.028;cA: 0.000; cB: 0.074:   0%|          | 22/500000 [00:15<449:23:03,  3.24s/it]
dA: 1.053; gA: -0.004;idtA: 0.036; ;dB: 0.490; gB: 0.028;cA: 0.000; cB: 0.074:   0%|          | 23/500000 [00:15<445:38:49,  3.21s/it]
