masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck19
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:04<591:37:09,  4.26s/it]
dA: 0.858; gA: 0.001;idtA: 0.019; ;dB: 0.720; gB: 0.000;cA: 0.066; cB: 0.000:   0%|          | 1/500000 [00:04<591:37:09,  4.26s/it]
dA: 0.858; gA: 0.001;idtA: 0.019; ;dB: 0.720; gB: 0.000;cA: 0.066; cB: 0.000:   0%|          | 2/500000 [00:04<586:29:17,  4.22s/it]
dA: 0.890; gA: 0.010;idtA: 0.032; ;dB: 0.158; gB: 0.018;cA: 0.099; cB: 0.000:   0%|          | 2/500000 [00:04<586:29:17,  4.22s/it]
dA: 0.890; gA: 0.010;idtA: 0.032; ;dB: 0.158; gB: 0.018;cA: 0.099; cB: 0.000:   0%|          | 3/500000 [00:05<581:23:58,  4.19s/it]
dA: 1.118; gA: -0.005;idtA: 0.018; ;dB: 0.525; gB: 0.005;cA: 0.033; cB: 0.000:   0%|          | 3/500000 [00:05<581:23:58,  4.19s/it]
dA: 1.118; gA: -0.005;idtA: 0.018; ;dB: 0.525; gB: 0.005;cA: 0.033; cB: 0.000:   0%|          | 4/500000 [00:05<576:22:22,  4.15s/it]
dA: 0.920; gA: 0.011;idtA: 0.036; ;dB: 0.247; gB: -0.004;cA: 0.112; cB: 0.000:   0%|          | 4/500000 [00:05<576:22:22,  4.15s/it]
dA: 0.920; gA: 0.011;idtA: 0.036; ;dB: 0.247; gB: -0.004;cA: 0.112; cB: 0.000:   0%|          | 5/500000 [00:06<571:23:53,  4.11s/it]
dA: 0.924; gA: 0.002;idtA: 0.018; ;dB: 0.758; gB: 0.026;cA: 0.049; cB: 0.000:   0%|          | 5/500000 [00:06<571:23:53,  4.11s/it] 
dA: 0.924; gA: 0.002;idtA: 0.018; ;dB: 0.758; gB: 0.026;cA: 0.049; cB: 0.000:   0%|          | 6/500000 [00:07<566:28:07,  4.08s/it]
dA: 1.032; gA: 0.004;idtA: 0.023; ;dB: 0.242; gB: 0.019;cA: 0.063; cB: 0.000:   0%|          | 6/500000 [00:07<566:28:07,  4.08s/it]
dA: 1.032; gA: 0.004;idtA: 0.023; ;dB: 0.242; gB: 0.019;cA: 0.063; cB: 0.000:   0%|          | 7/500000 [00:07<561:37:15,  4.04s/it]
dA: 1.077; gA: 0.004;idtA: 0.033; ;dB: 0.139; gB: 0.010;cA: 0.062; cB: 0.000:   0%|          | 7/500000 [00:07<561:37:15,  4.04s/it]
dA: 1.077; gA: 0.004;idtA: 0.033; ;dB: 0.139; gB: 0.010;cA: 0.062; cB: 0.000:   0%|          | 8/500000 [00:08<556:46:25,  4.01s/it]
dA: 0.947; gA: 0.004;idtA: 0.020; ;dB: 0.616; gB: 0.001;cA: 0.041; cB: 0.000:   0%|          | 8/500000 [00:08<556:46:25,  4.01s/it]
dA: 0.947; gA: 0.004;idtA: 0.020; ;dB: 0.616; gB: 0.001;cA: 0.041; cB: 0.000:   0%|          | 9/500000 [00:08<551:59:31,  3.97s/it]
dA: 0.724; gA: 0.006;idtA: 0.031; ;dB: 0.708; gB: 0.012;cA: 0.061; cB: 0.000:   0%|          | 9/500000 [00:08<551:59:31,  3.97s/it]
dA: 0.724; gA: 0.006;idtA: 0.031; ;dB: 0.708; gB: 0.012;cA: 0.061; cB: 0.000:   0%|          | 10/500000 [00:09<547:14:55,  3.94s/it]
dA: 1.068; gA: -0.000;idtA: 0.034; ;dB: 0.538; gB: 0.006;cA: 0.064; cB: 0.000:   0%|          | 10/500000 [00:09<547:14:55,  3.94s/it]
dA: 1.068; gA: -0.000;idtA: 0.034; ;dB: 0.538; gB: 0.006;cA: 0.064; cB: 0.000:   0%|          | 11/500000 [00:09<542:32:14,  3.91s/it]
dA: 0.899; gA: -0.005;idtA: 0.026; ;dB: 0.508; gB: 0.002;cA: 0.047; cB: 0.000:   0%|          | 11/500000 [00:09<542:32:14,  3.91s/it]
dA: 0.899; gA: -0.005;idtA: 0.026; ;dB: 0.508; gB: 0.002;cA: 0.047; cB: 0.000:   0%|          | 12/500000 [00:10<537:53:18,  3.87s/it]
dA: 1.170; gA: 0.004;idtA: 0.019; ;dB: 0.545; gB: 0.013;cA: 0.039; cB: 0.000:   0%|          | 12/500000 [00:10<537:53:18,  3.87s/it] 
dA: 1.170; gA: 0.004;idtA: 0.019; ;dB: 0.545; gB: 0.013;cA: 0.039; cB: 0.000:   0%|          | 13/500000 [00:11<533:16:05,  3.84s/it]
dA: 1.094; gA: 0.000;idtA: 0.019; ;dB: 0.427; gB: 0.008;cA: 0.049; cB: 0.000:   0%|          | 13/500000 [00:11<533:16:05,  3.84s/it]
dA: 1.094; gA: 0.000;idtA: 0.019; ;dB: 0.427; gB: 0.008;cA: 0.049; cB: 0.000:   0%|          | 14/500000 [00:11<528:42:04,  3.81s/it]
dA: 1.038; gA: 0.000;idtA: 0.042; ;dB: 0.792; gB: 0.015;cA: 0.066; cB: 0.000:   0%|          | 14/500000 [00:11<528:42:04,  3.81s/it]
dA: 1.038; gA: 0.000;idtA: 0.042; ;dB: 0.792; gB: 0.015;cA: 0.066; cB: 0.000:   0%|          | 15/500000 [00:12<524:11:09,  3.77s/it]
dA: 0.894; gA: 0.006;idtA: 0.025; ;dB: 0.190; gB: 0.011;cA: 0.073; cB: 0.000:   0%|          | 15/500000 [00:12<524:11:09,  3.77s/it]
dA: 0.894; gA: 0.006;idtA: 0.025; ;dB: 0.190; gB: 0.011;cA: 0.073; cB: 0.000:   0%|          | 16/500000 [00:12<519:44:26,  3.74s/it]
dA: 0.830; gA: 0.004;idtA: 0.031; ;dB: 0.236; gB: 0.014;cA: 0.062; cB: 0.000:   0%|          | 16/500000 [00:12<519:44:26,  3.74s/it]
dA: 0.830; gA: 0.004;idtA: 0.031; ;dB: 0.236; gB: 0.014;cA: 0.062; cB: 0.000:   0%|          | 17/500000 [00:13<515:18:58,  3.71s/it]
dA: 0.950; gA: 0.000;idtA: 0.016; ;dB: 0.375; gB: 0.006;cA: 0.042; cB: 0.000:   0%|          | 17/500000 [00:13<515:18:58,  3.71s/it]
dA: 0.950; gA: 0.000;idtA: 0.016; ;dB: 0.375; gB: 0.006;cA: 0.042; cB: 0.000:   0%|          | 18/500000 [00:13<510:58:55,  3.68s/it]
dA: 0.939; gA: 0.002;idtA: 0.031; ;dB: 0.513; gB: 0.013;cA: 0.071; cB: 0.000:   0%|          | 18/500000 [00:13<510:58:55,  3.68s/it]
dA: 0.939; gA: 0.002;idtA: 0.031; ;dB: 0.513; gB: 0.013;cA: 0.071; cB: 0.000:   0%|          | 19/500000 [00:14<506:39:17,  3.65s/it]
dA: 0.946; gA: 0.005;idtA: 0.028; ;dB: 0.256; gB: 0.013;cA: 0.068; cB: 0.000:   0%|          | 19/500000 [00:14<506:39:17,  3.65s/it]
dA: 0.946; gA: 0.005;idtA: 0.028; ;dB: 0.256; gB: 0.013;cA: 0.068; cB: 0.000:   0%|          | 20/500000 [00:14<502:22:06,  3.62s/it]
dA: 0.983; gA: -0.003;idtA: 0.017; ;dB: 0.287; gB: 0.019;cA: 0.037; cB: 0.000:   0%|          | 20/500000 [00:14<502:22:06,  3.62s/it]
dA: 0.983; gA: -0.003;idtA: 0.017; ;dB: 0.287; gB: 0.019;cA: 0.037; cB: 0.000:   0%|          | 21/500000 [00:15<498:06:14,  3.59s/it]
dA: 0.840; gA: 0.008;idtA: 0.020; ;dB: 0.216; gB: 0.008;cA: 0.051; cB: 0.000:   0%|          | 21/500000 [00:15<498:06:14,  3.59s/it] 
dA: 0.840; gA: 0.008;idtA: 0.020; ;dB: 0.216; gB: 0.008;cA: 0.051; cB: 0.000:   0%|          | 22/500000 [00:16<493:54:46,  3.56s/it]
dA: 0.905; gA: -0.011;idtA: 0.022; ;dB: 0.181; gB: 0.023;cA: 0.079; cB: 0.000:   0%|          | 22/500000 [00:16<493:54:46,  3.56s/it]
dA: 0.905; gA: -0.011;idtA: 0.022; ;dB: 0.181; gB: 0.023;cA: 0.079; cB: 0.000:   0%|          | 23/500000 [00:16<489:45:29,  3.53s/it]
dA: 1.003; gA: 0.013;idtA: 0.024; ;dB: 0.111; gB: 0.015;cA: 0.088; cB: 0.000:   0%|          | 23/500000 [00:16<489:45:29,  3.53s/it] 
dA: 1.003; gA: 0.013;idtA: 0.024; ;dB: 0.111; gB: 0.015;cA: 0.088; cB: 0.000:   0%|          | 24/500000 [00:17<485:37:50,  3.50s/it]
dA: 1.001; gA: 0.000;idtA: 0.021; ;dB: 0.200; gB: 0.027;cA: 0.068; cB: 0.000:   0%|          | 24/500000 [00:17<485:37:50,  3.50s/it]
dA: 1.001; gA: 0.000;idtA: 0.021; ;dB: 0.200; gB: 0.027;cA: 0.068; cB: 0.000:   0%|          | 25/500000 [00:17<481:32:59,  3.47s/it]
dA: 0.959; gA: -0.008;idtA: 0.013; ;dB: 0.641; gB: 0.024;cA: 0.027; cB: 0.000:   0%|          | 25/500000 [00:17<481:32:59,  3.47s/it]
dA: 0.959; gA: -0.008;idtA: 0.013; ;dB: 0.641; gB: 0.024;cA: 0.027; cB: 0.000:   0%|          | 26/500000 [00:18<477:30:07,  3.44s/it]
dA: 0.897; gA: 0.006;idtA: 0.023; ;dB: 0.287; gB: 0.014;cA: 0.086; cB: 0.000:   0%|          | 26/500000 [00:18<477:30:07,  3.44s/it] 
dA: 0.897; gA: 0.006;idtA: 0.023; ;dB: 0.287; gB: 0.014;cA: 0.086; cB: 0.000:   0%|          | 27/500000 [00:18<473:36:05,  3.41s/it]
dA: 0.957; gA: 0.000;idtA: 0.014; ;dB: 1.340; gB: 0.004;cA: 0.030; cB: 0.000:   0%|          | 27/500000 [00:18<473:36:05,  3.41s/it]
dA: 0.957; gA: 0.000;idtA: 0.014; ;dB: 1.340; gB: 0.004;cA: 0.030; cB: 0.000:   0%|          | 28/500000 [00:19<469:38:41,  3.38s/it]
dA: 0.930; gA: 0.015;idtA: 0.023; ;dB: 0.230; gB: 0.021;cA: 0.057; cB: 0.000:   0%|          | 28/500000 [00:19<469:38:41,  3.38s/it]
dA: 0.930; gA: 0.015;idtA: 0.023; ;dB: 0.230; gB: 0.021;cA: 0.057; cB: 0.000:   0%|          | 29/500000 [00:20<465:42:37,  3.35s/it]
dA: 0.895; gA: 0.004;idtA: 0.019; ;dB: 0.177; gB: 0.020;cA: 0.049; cB: 0.000:   0%|          | 29/500000 [00:20<465:42:37,  3.35s/it]
dA: 0.895; gA: 0.004;idtA: 0.019; ;dB: 0.177; gB: 0.020;cA: 0.049; cB: 0.000:   0%|          | 30/500000 [00:20<461:49:43,  3.33s/it]
dA: 0.896; gA: 0.008;idtA: 0.029; ;dB: 0.505; gB: 0.009;cA: 0.073; cB: 0.000:   0%|          | 30/500000 [00:20<461:49:43,  3.33s/it]
dA: 0.896; gA: 0.008;idtA: 0.029; ;dB: 0.505; gB: 0.009;cA: 0.073; cB: 0.000:   0%|          | 31/500000 [00:21<457:58:43,  3.30s/it]
dA: 0.994; gA: -0.001;idtA: 0.017; ;dB: 0.530; gB: 0.002;cA: 0.045; cB: 0.000:   0%|          | 31/500000 [00:21<457:58:43,  3.30s/it]
dA: 0.994; gA: -0.001;idtA: 0.017; ;dB: 0.530; gB: 0.002;cA: 0.045; cB: 0.000:   0%|          | 32/500000 [00:21<454:13:56,  3.27s/it]
dA: 0.946; gA: 0.003;idtA: 0.025; ;dB: 0.179; gB: 0.012;cA: 0.082; cB: 0.000:   0%|          | 32/500000 [00:21<454:13:56,  3.27s/it] 
dA: 0.946; gA: 0.003;idtA: 0.025; ;dB: 0.179; gB: 0.012;cA: 0.082; cB: 0.000:   0%|          | 33/500000 [00:22<450:30:54,  3.24s/it]
dA: 0.976; gA: 0.008;idtA: 0.027; ;dB: 0.732; gB: 0.017;cA: 0.107; cB: 0.000:   0%|          | 33/500000 [00:22<450:30:54,  3.24s/it]
dA: 0.976; gA: 0.008;idtA: 0.027; ;dB: 0.732; gB: 0.017;cA: 0.107; cB: 0.000:   0%|          | 34/500000 [00:22<446:47:14,  3.22s/it]
dA: 1.035; gA: 0.003;idtA: 0.027; ;dB: 0.408; gB: 0.007;cA: 0.105; cB: 0.000:   0%|          | 34/500000 [00:22<446:47:14,  3.22s/it]
dA: 1.035; gA: 0.003;idtA: 0.027; ;dB: 0.408; gB: 0.007;cA: 0.105; cB: 0.000:   0%|          | 35/500000 [00:23<443:05:12,  3.19s/it]
dA: 1.001; gA: 0.002;idtA: 0.029; ;dB: 0.205; gB: 0.020;cA: 0.069; cB: 0.000:   0%|          | 35/500000 [00:23<443:05:12,  3.19s/it]
dA: 1.001; gA: 0.002;idtA: 0.029; ;dB: 0.205; gB: 0.020;cA: 0.069; cB: 0.000:   0%|          | 36/500000 [00:24<439:33:02,  3.16s/it]
dA: 0.977; gA: 0.010;idtA: 0.031; ;dB: 0.695; gB: -0.003;cA: 0.074; cB: 0.000:   0%|          | 36/500000 [00:24<439:33:02,  3.16s/it]
dA: 0.977; gA: 0.010;idtA: 0.031; ;dB: 0.695; gB: -0.003;cA: 0.074; cB: 0.000:   0%|          | 37/500000 [00:24<436:02:31,  3.14s/it]
dA: 0.824; gA: -0.006;idtA: 0.033; ;dB: 0.146; gB: 0.026;cA: 0.069; cB: 0.000:   0%|          | 37/500000 [00:24<436:02:31,  3.14s/it]
dA: 0.824; gA: -0.006;idtA: 0.033; ;dB: 0.146; gB: 0.026;cA: 0.069; cB: 0.000:   0%|          | 38/500000 [00:25<432:27:40,  3.11s/it]
dA: 0.755; gA: 0.013;idtA: 0.028; ;dB: 0.099; gB: 0.015;cA: 0.085; cB: 0.000:   0%|          | 38/500000 [00:25<432:27:40,  3.11s/it] 
dA: 0.755; gA: 0.013;idtA: 0.028; ;dB: 0.099; gB: 0.015;cA: 0.085; cB: 0.000:   0%|          | 39/500000 [00:25<429:02:35,  3.09s/it]
dA: 1.081; gA: -0.000;idtA: 0.028; ;dB: 0.262; gB: 0.009;cA: 0.070; cB: 0.000:   0%|          | 39/500000 [00:25<429:02:35,  3.09s/it]
dA: 1.081; gA: -0.000;idtA: 0.028; ;dB: 0.262; gB: 0.009;cA: 0.070; cB: 0.000:   0%|          | 40/500000 [00:26<425:35:21,  3.06s/it]
dA: 0.656; gA: 0.008;idtA: 0.025; ;dB: 0.244; gB: 0.002;cA: 0.067; cB: 0.000:   0%|          | 40/500000 [00:26<425:35:21,  3.06s/it] 
dA: 0.656; gA: 0.008;idtA: 0.025; ;dB: 0.244; gB: 0.002;cA: 0.067; cB: 0.000:   0%|          | 41/500000 [00:27<422:10:17,  3.04s/it]
dA: 0.821; gA: -0.011;idtA: 0.030; ;dB: 0.107; gB: 0.022;cA: 0.065; cB: 0.000:   0%|          | 41/500000 [00:27<422:10:17,  3.04s/it]
dA: 0.821; gA: -0.011;idtA: 0.030; ;dB: 0.107; gB: 0.022;cA: 0.065; cB: 0.000:   0%|          | 42/500000 [00:27<418:48:12,  3.02s/it]
dA: 1.220; gA: 0.012;idtA: 0.029; ;dB: 0.870; gB: -0.000;cA: 0.082; cB: 0.000:   0%|          | 42/500000 [00:27<418:48:12,  3.02s/it]
dA: 1.220; gA: 0.012;idtA: 0.029; ;dB: 0.870; gB: -0.000;cA: 0.082; cB: 0.000:   0%|          | 43/500000 [00:28<415:23:01,  2.99s/it]
dA: 0.903; gA: 0.006;idtA: 0.016; ;dB: 0.547; gB: 0.029;cA: 0.050; cB: 0.000:   0%|          | 43/500000 [00:28<415:23:01,  2.99s/it] 
dA: 0.903; gA: 0.006;idtA: 0.016; ;dB: 0.547; gB: 0.029;cA: 0.050; cB: 0.000:   0%|          | 44/500000 [00:28<412:00:38,  2.97s/it]
dA: 1.012; gA: -0.003;idtA: 0.027; ;dB: 0.252; gB: 0.013;cA: 0.070; cB: 0.000:   0%|          | 44/500000 [00:28<412:00:38,  2.97s/it]
dA: 1.012; gA: -0.003;idtA: 0.027; ;dB: 0.252; gB: 0.013;cA: 0.070; cB: 0.000:   0%|          | 45/500000 [00:29<408:40:48,  2.94s/it]
dA: 0.625; gA: 0.006;idtA: 0.030; ;dB: 0.540; gB: 0.018;cA: 0.074; cB: 0.000:   0%|          | 45/500000 [00:29<408:40:48,  2.94s/it] 
dA: 0.625; gA: 0.006;idtA: 0.030; ;dB: 0.540; gB: 0.018;cA: 0.074; cB: 0.000:   0%|          | 46/500000 [00:30<405:21:33,  2.92s/it]
dA: 0.701; gA: 0.015;idtA: 0.033; ;dB: 0.567; gB: 0.005;cA: 0.111; cB: 0.000:   0%|          | 46/500000 [00:30<405:21:33,  2.92s/it]
dA: 0.701; gA: 0.015;idtA: 0.033; ;dB: 0.567; gB: 0.005;cA: 0.111; cB: 0.000:   0%|          | 47/500000 [00:30<402:03:57,  2.90s/it]
dA: 0.944; gA: -0.000;idtA: 0.017; ;dB: 0.654; gB: 0.008;cA: 0.032; cB: 0.000:   0%|          | 47/500000 [00:30<402:03:57,  2.90s/it]
dA: 0.944; gA: -0.000;idtA: 0.017; ;dB: 0.654; gB: 0.008;cA: 0.032; cB: 0.000:   0%|          | 48/500000 [00:31<398:48:16,  2.87s/it]
dA: 0.883; gA: 0.003;idtA: 0.024; ;dB: 0.221; gB: 0.018;cA: 0.067; cB: 0.000:   0%|          | 48/500000 [00:31<398:48:16,  2.87s/it] 
dA: 0.883; gA: 0.003;idtA: 0.024; ;dB: 0.221; gB: 0.018;cA: 0.067; cB: 0.000:   0%|          | 49/500000 [00:31<395:34:45,  2.85s/it]
dA: 1.006; gA: 0.003;idtA: 0.024; ;dB: 0.658; gB: 0.007;cA: 0.055; cB: 0.000:   0%|          | 49/500000 [00:31<395:34:45,  2.85s/it]
dA: 1.006; gA: 0.003;idtA: 0.024; ;dB: 0.658; gB: 0.007;cA: 0.055; cB: 0.000:   0%|          | 50/500000 [00:32<392:23:18,  2.83s/it]
dA: 1.045; gA: -0.001;idtA: 0.016; ;dB: 0.404; gB: 0.016;cA: 0.046; cB: 0.000:   0%|          | 50/500000 [00:32<392:23:18,  2.83s/it]
dA: 1.045; gA: -0.001;idtA: 0.016; ;dB: 0.404; gB: 0.016;cA: 0.046; cB: 0.000:   0%|          | 51/500000 [00:32<389:13:49,  2.80s/it]
dA: 0.758; gA: -0.004;idtA: 0.033; ;dB: 0.334; gB: 0.011;cA: 0.074; cB: 0.000:   0%|          | 51/500000 [00:32<389:13:49,  2.80s/it]
dA: 0.758; gA: -0.004;idtA: 0.033; ;dB: 0.334; gB: 0.011;cA: 0.074; cB: 0.000:   0%|          | 52/500000 [00:33<386:06:34,  2.78s/it]
dA: 1.032; gA: 0.008;idtA: 0.016; ;dB: 0.724; gB: 0.010;cA: 0.027; cB: 0.000:   0%|          | 52/500000 [00:33<386:06:34,  2.78s/it] 
dA: 1.032; gA: 0.008;idtA: 0.016; ;dB: 0.724; gB: 0.010;cA: 0.027; cB: 0.000:   0%|          | 53/500000 [00:33<383:01:28,  2.76s/it]
dA: 1.005; gA: -0.001;idtA: 0.028; ;dB: 0.751; gB: -0.012;cA: 0.044; cB: 0.000:   0%|          | 53/500000 [00:33<383:01:28,  2.76s/it]
dA: 1.005; gA: -0.001;idtA: 0.028; ;dB: 0.751; gB: -0.012;cA: 0.044; cB: 0.000:   0%|          | 54/500000 [00:34<379:57:25,  2.74s/it]
dA: 0.476; gA: 0.003;idtA: 0.031; ;dB: 1.244; gB: 0.023;cA: 0.074; cB: 0.000:   0%|          | 54/500000 [00:34<379:57:25,  2.74s/it]  
dA: 0.476; gA: 0.003;idtA: 0.031; ;dB: 1.244; gB: 0.023;cA: 0.074; cB: 0.000:   0%|          | 55/500000 [00:35<376:55:50,  2.71s/it]
dA: 0.981; gA: -0.000;idtA: 0.044; ;dB: 0.456; gB: 0.009;cA: 0.084; cB: 0.000:   0%|          | 55/500000 [00:35<376:55:50,  2.71s/it]
dA: 0.981; gA: -0.000;idtA: 0.044; ;dB: 0.456; gB: 0.009;cA: 0.084; cB: 0.000:   0%|          | 56/500000 [00:35<373:56:10,  2.69s/it]
dA: 0.894; gA: -0.002;idtA: 0.027; ;dB: 0.251; gB: 0.008;cA: 0.078; cB: 0.000:   0%|          | 56/500000 [00:35<373:56:10,  2.69s/it]
dA: 0.894; gA: -0.002;idtA: 0.027; ;dB: 0.251; gB: 0.008;cA: 0.078; cB: 0.000:   0%|          | 57/500000 [00:36<370:59:59,  2.67s/it]
dA: 0.901; gA: 0.004;idtA: 0.022; ;dB: 0.240; gB: 0.015;cA: 0.056; cB: 0.000:   0%|          | 57/500000 [00:36<370:59:59,  2.67s/it] 
dA: 0.901; gA: 0.004;idtA: 0.022; ;dB: 0.240; gB: 0.015;cA: 0.056; cB: 0.000:   0%|          | 58/500000 [00:36<368:03:53,  2.65s/it]
dA: 1.129; gA: 0.005;idtA: 0.021; ;dB: 0.708; gB: 0.014;cA: 0.037; cB: 0.000:   0%|          | 58/500000 [00:36<368:03:53,  2.65s/it]
dA: 1.129; gA: 0.005;idtA: 0.021; ;dB: 0.708; gB: 0.014;cA: 0.037; cB: 0.000:   0%|          | 59/500000 [00:37<365:09:04,  2.63s/it]
dA: 0.923; gA: 0.004;idtA: 0.028; ;dB: 0.480; gB: 0.011;cA: 0.049; cB: 0.000:   0%|          | 59/500000 [00:37<365:09:04,  2.63s/it]
dA: 0.923; gA: 0.004;idtA: 0.028; ;dB: 0.480; gB: 0.011;cA: 0.049; cB: 0.000:   0%|          | 60/500000 [00:37<362:15:39,  2.61s/it]
dA: 0.905; gA: 0.003;idtA: 0.018; ;dB: 0.541; gB: 0.016;cA: 0.048; cB: 0.000:   0%|          | 60/500000 [00:37<362:15:39,  2.61s/it]
dA: 0.905; gA: 0.003;idtA: 0.018; ;dB: 0.541; gB: 0.016;cA: 0.048; cB: 0.000:   0%|          | 61/500000 [00:38<359:23:53,  2.59s/it]
dA: 0.729; gA: 0.005;idtA: 0.026; ;dB: 0.202; gB: 0.018;cA: 0.077; cB: 0.000:   0%|          | 61/500000 [00:38<359:23:53,  2.59s/it]
dA: 0.729; gA: 0.005;idtA: 0.026; ;dB: 0.202; gB: 0.018;cA: 0.077; cB: 0.000:   0%|          | 62/500000 [00:38<356:33:55,  2.57s/it]
dA: 0.614; gA: 0.016;idtA: 0.020; ;dB: 0.246; gB: 0.003;cA: 0.061; cB: 0.000:   0%|          | 62/500000 [00:38<356:33:55,  2.57s/it]
dA: 0.614; gA: 0.016;idtA: 0.020; ;dB: 0.246; gB: 0.003;cA: 0.061; cB: 0.000:   0%|          | 63/500000 [00:39<353:45:40,  2.55s/it]
