masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck23
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<472:35:23,  3.40s/it]
dA: 0.709; gA: 0.001;; ;dB: 0.928; gB: 0.008;cA: 0.059; cB: 0.091:   0%|          | 1/500000 [00:03<472:35:23,  3.40s/it]
dA: 0.709; gA: 0.001;; ;dB: 0.928; gB: 0.008;cA: 0.059; cB: 0.091:   0%|          | 2/500000 [00:03<468:33:33,  3.37s/it]
dA: 1.025; gA: 0.003;; ;dB: 0.424; gB: 0.000;cA: 0.079; cB: 0.121:   0%|          | 2/500000 [00:03<468:33:33,  3.37s/it]
dA: 1.025; gA: 0.003;; ;dB: 0.424; gB: 0.000;cA: 0.079; cB: 0.121:   0%|          | 3/500000 [00:04<464:33:22,  3.34s/it]
dA: 1.164; gA: 0.008;; ;dB: 0.360; gB: 0.004;cA: 0.031; cB: 0.031:   0%|          | 3/500000 [00:04<464:33:22,  3.34s/it]
dA: 1.164; gA: 0.008;; ;dB: 0.360; gB: 0.004;cA: 0.031; cB: 0.031:   0%|          | 4/500000 [00:04<460:35:52,  3.32s/it]
dA: 1.015; gA: 0.001;; ;dB: 0.581; gB: -0.008;cA: 0.121; cB: 0.129:   0%|          | 4/500000 [00:04<460:35:52,  3.32s/it]
dA: 1.015; gA: 0.001;; ;dB: 0.581; gB: -0.008;cA: 0.121; cB: 0.129:   0%|          | 5/500000 [00:05<456:40:13,  3.29s/it]
dA: 1.060; gA: 0.000;; ;dB: 0.673; gB: 0.021;cA: 0.047; cB: 0.037:   0%|          | 5/500000 [00:05<456:40:13,  3.29s/it] 
dA: 1.060; gA: 0.000;; ;dB: 0.673; gB: 0.021;cA: 0.047; cB: 0.037:   0%|          | 6/500000 [00:05<452:47:13,  3.26s/it]
dA: 1.029; gA: 0.003;; ;dB: 0.182; gB: 0.017;cA: 0.077; cB: 0.100:   0%|          | 6/500000 [00:05<452:47:13,  3.26s/it]
dA: 1.029; gA: 0.003;; ;dB: 0.182; gB: 0.017;cA: 0.077; cB: 0.100:   0%|          | 7/500000 [00:06<448:56:34,  3.23s/it]
dA: 1.022; gA: 0.002;; ;dB: 0.221; gB: 0.002;cA: 0.050; cB: 0.038:   0%|          | 7/500000 [00:06<448:56:34,  3.23s/it]
dA: 1.022; gA: 0.002;; ;dB: 0.221; gB: 0.002;cA: 0.050; cB: 0.038:   0%|          | 8/500000 [00:06<445:08:11,  3.21s/it]
dA: 0.918; gA: 0.003;; ;dB: 0.559; gB: 0.012;cA: 0.037; cB: 0.030:   0%|          | 8/500000 [00:06<445:08:11,  3.21s/it]
dA: 0.918; gA: 0.003;; ;dB: 0.559; gB: 0.012;cA: 0.037; cB: 0.030:   0%|          | 9/500000 [00:07<441:22:08,  3.18s/it]
dA: 0.910; gA: 0.008;; ;dB: 0.504; gB: 0.004;cA: 0.037; cB: 0.032:   0%|          | 9/500000 [00:07<441:22:08,  3.18s/it]
dA: 0.910; gA: 0.008;; ;dB: 0.504; gB: 0.004;cA: 0.037; cB: 0.032:   0%|          | 10/500000 [00:07<437:38:24,  3.15s/it]
dA: 1.084; gA: -0.002;; ;dB: 0.908; gB: 0.007;cA: 0.069; cB: 0.066:   0%|          | 10/500000 [00:07<437:38:24,  3.15s/it]
dA: 1.084; gA: -0.002;; ;dB: 0.908; gB: 0.007;cA: 0.069; cB: 0.066:   0%|          | 11/500000 [00:08<433:56:47,  3.12s/it]
dA: 0.977; gA: 0.006;; ;dB: 0.435; gB: 0.007;cA: 0.070; cB: 0.065:   0%|          | 11/500000 [00:08<433:56:47,  3.12s/it] 
dA: 0.977; gA: 0.006;; ;dB: 0.435; gB: 0.007;cA: 0.070; cB: 0.065:   0%|          | 12/500000 [00:08<430:17:28,  3.10s/it]
dA: 1.001; gA: -0.000;; ;dB: 0.571; gB: 0.014;cA: 0.043; cB: 0.038:   0%|          | 12/500000 [00:08<430:17:28,  3.10s/it]
dA: 1.001; gA: -0.000;; ;dB: 0.571; gB: 0.014;cA: 0.043; cB: 0.038:   0%|          | 13/500000 [00:09<426:40:16,  3.07s/it]
dA: 0.923; gA: 0.001;; ;dB: 0.740; gB: -0.002;cA: 0.058; cB: 0.052:   0%|          | 13/500000 [00:09<426:40:16,  3.07s/it]
dA: 0.923; gA: 0.001;; ;dB: 0.740; gB: -0.002;cA: 0.058; cB: 0.052:   0%|          | 14/500000 [00:09<423:05:12,  3.05s/it]
dA: 0.931; gA: 0.007;; ;dB: 0.491; gB: 0.013;cA: 0.071; cB: 0.073:   0%|          | 14/500000 [00:09<423:05:12,  3.05s/it] 
dA: 0.931; gA: 0.007;; ;dB: 0.491; gB: 0.013;cA: 0.071; cB: 0.073:   0%|          | 15/500000 [00:10<419:32:23,  3.02s/it]
dA: 0.877; gA: 0.003;; ;dB: 0.231; gB: 0.010;cA: 0.060; cB: 0.054:   0%|          | 15/500000 [00:10<419:32:23,  3.02s/it]
dA: 0.877; gA: 0.003;; ;dB: 0.231; gB: 0.010;cA: 0.060; cB: 0.054:   0%|          | 16/500000 [00:10<416:02:05,  3.00s/it]
dA: 1.073; gA: 0.019;; ;dB: 0.447; gB: 0.014;cA: 0.098; cB: 0.144:   0%|          | 16/500000 [00:10<416:02:05,  3.00s/it]
dA: 1.073; gA: 0.019;; ;dB: 0.447; gB: 0.014;cA: 0.098; cB: 0.144:   0%|          | 17/500000 [00:11<412:33:33,  2.97s/it]
dA: 0.818; gA: 0.010;; ;dB: 0.326; gB: 0.009;cA: 0.043; cB: 0.035:   0%|          | 17/500000 [00:11<412:33:33,  2.97s/it]
dA: 0.818; gA: 0.010;; ;dB: 0.326; gB: 0.009;cA: 0.043; cB: 0.035:   0%|          | 18/500000 [00:11<409:07:21,  2.95s/it]
dA: 0.912; gA: -0.006;; ;dB: 0.537; gB: 0.010;cA: 0.078; cB: 0.099:   0%|          | 18/500000 [00:11<409:07:21,  2.95s/it]
dA: 0.912; gA: -0.006;; ;dB: 0.537; gB: 0.010;cA: 0.078; cB: 0.099:   0%|          | 19/500000 [00:12<405:42:53,  2.92s/it]
