masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck27
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<487:40:16,  3.51s/it]
dA: 0.836; gA: 0.003;holeA: 0.050; validA: 0.028;dB: 0.622; gB: 0.006;holeB: 0.064;; ;cA: 0.068; cB: 0.065:   0%|          | 1/500000 [00:03<487:40:16,  3.51s/it]
dA: 0.836; gA: 0.003;holeA: 0.050; validA: 0.028;dB: 0.622; gB: 0.006;holeB: 0.064;; ;cA: 0.068; cB: 0.065:   0%|          | 2/500000 [00:04<483:36:15,  3.48s/it]
dA: 1.295; gA: 0.002;holeA: 0.090; validA: 0.041;dB: 0.511; gB: 0.002;holeB: 0.069;; ;cA: 0.079; cB: 0.084:   0%|          | 2/500000 [00:04<483:36:15,  3.48s/it]
dA: 1.295; gA: 0.002;holeA: 0.090; validA: 0.041;dB: 0.511; gB: 0.002;holeB: 0.069;; ;cA: 0.079; cB: 0.084:   0%|          | 3/500000 [00:04<479:33:26,  3.45s/it]
dA: 0.495; gA: 0.037;holeA: 0.038; validA: 0.026;dB: 0.445; gB: 0.004;holeB: 0.036;; ;cA: 0.043; cB: 0.042:   0%|          | 3/500000 [00:04<479:33:26,  3.45s/it]
dA: 0.495; gA: 0.037;holeA: 0.038; validA: 0.026;dB: 0.445; gB: 0.004;holeB: 0.036;; ;cA: 0.043; cB: 0.042:   0%|          | 4/500000 [00:05<475:33:34,  3.42s/it]
dA: 0.383; gA: 0.109;holeA: 0.077; validA: 0.046;dB: 0.540; gB: 0.020;holeB: 0.090;; ;cA: 0.098; cB: 0.096:   0%|          | 4/500000 [00:05<475:33:34,  3.42s/it]
dA: 0.383; gA: 0.109;holeA: 0.077; validA: 0.046;dB: 0.540; gB: 0.020;holeB: 0.090;; ;cA: 0.098; cB: 0.096:   0%|          | 5/500000 [00:05<471:34:58,  3.40s/it]
dA: 0.613; gA: 0.040;holeA: 0.036; validA: 0.022;dB: 0.391; gB: 0.018;holeB: 0.033;; ;cA: 0.038; cB: 0.038:   0%|          | 5/500000 [00:05<471:34:58,  3.40s/it]
dA: 0.613; gA: 0.040;holeA: 0.036; validA: 0.022;dB: 0.391; gB: 0.018;holeB: 0.033;; ;cA: 0.038; cB: 0.038:   0%|          | 6/500000 [00:06<467:39:02,  3.37s/it]
dA: 0.504; gA: 0.021;holeA: 0.052; validA: 0.024;dB: 0.329; gB: 0.008;holeB: 0.040;; ;cA: 0.046; cB: 0.047:   0%|          | 6/500000 [00:06<467:39:02,  3.37s/it]
dA: 0.504; gA: 0.021;holeA: 0.052; validA: 0.024;dB: 0.329; gB: 0.008;holeB: 0.040;; ;cA: 0.046; cB: 0.047:   0%|          | 7/500000 [00:06<463:45:53,  3.34s/it]
dA: 0.796; gA: 0.016;holeA: 0.049; validA: 0.035;dB: 0.226; gB: 0.012;holeB: 0.049;; ;cA: 0.058; cB: 0.057:   0%|          | 7/500000 [00:06<463:45:53,  3.34s/it]
dA: 0.796; gA: 0.016;holeA: 0.049; validA: 0.035;dB: 0.226; gB: 0.012;holeB: 0.049;; ;cA: 0.058; cB: 0.057:   0%|          | 8/500000 [00:07<459:54:48,  3.31s/it]
dA: 0.508; gA: 0.025;holeA: 0.047; validA: 0.022;dB: 0.856; gB: 0.009;holeB: 0.036;; ;cA: 0.045; cB: 0.047:   0%|          | 8/500000 [00:07<459:54:48,  3.31s/it]
dA: 0.508; gA: 0.025;holeA: 0.047; validA: 0.022;dB: 0.856; gB: 0.009;holeB: 0.036;; ;cA: 0.045; cB: 0.047:   0%|          | 9/500000 [00:08<456:05:55,  3.28s/it]
dA: 0.852; gA: 0.015;holeA: 0.037; validA: 0.025;dB: 0.504; gB: 0.017;holeB: 0.035;; ;cA: 0.041; cB: 0.040:   0%|          | 9/500000 [00:08<456:05:55,  3.28s/it]
dA: 0.852; gA: 0.015;holeA: 0.037; validA: 0.025;dB: 0.504; gB: 0.017;holeB: 0.035;; ;cA: 0.041; cB: 0.040:   0%|          | 10/500000 [00:08<452:19:59,  3.26s/it]
dA: 0.692; gA: 0.004;holeA: 0.061; validA: 0.050;dB: 0.467; gB: 0.013;holeB: 0.063;; ;cA: 0.080; cB: 0.077:   0%|          | 10/500000 [00:08<452:19:59,  3.26s/it]
dA: 0.692; gA: 0.004;holeA: 0.061; validA: 0.050;dB: 0.467; gB: 0.013;holeB: 0.063;; ;cA: 0.080; cB: 0.077:   0%|          | 11/500000 [00:09<448:42:22,  3.23s/it]
dA: 1.185; gA: 0.000;holeA: 0.078; validA: 0.042;dB: 0.533; gB: 0.009;holeB: 0.064;; ;cA: 0.069; cB: 0.066:   0%|          | 11/500000 [00:09<448:42:22,  3.23s/it]
dA: 1.185; gA: 0.000;holeA: 0.078; validA: 0.042;dB: 0.533; gB: 0.009;holeB: 0.064;; ;cA: 0.069; cB: 0.066:   0%|          | 12/500000 [00:09<445:00:11,  3.20s/it]
dA: 0.680; gA: 0.012;holeA: 0.024; validA: 0.018;dB: 0.533; gB: 0.014;holeB: 0.024;; ;cA: 0.032; cB: 0.031:   0%|          | 12/500000 [00:09<445:00:11,  3.20s/it]
dA: 0.680; gA: 0.012;holeA: 0.024; validA: 0.018;dB: 0.533; gB: 0.014;holeB: 0.024;; ;cA: 0.032; cB: 0.031:   0%|          | 13/500000 [00:10<441:20:09,  3.18s/it]
