masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck9
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-hoover-modelspec/gen_00013.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<538:04:45,  3.87s/it]
dA: 1.691; gA: 0.008;idtA: 0.015; ;dB: 0.967; gB: 0.003;cA: 0.027; cB: 0.018:   0%|          | 1/500000 [00:03<538:04:45,  3.87s/it]
dA: 1.691; gA: 0.008;idtA: 0.015; ;dB: 0.967; gB: 0.003;cA: 0.027; cB: 0.018:   0%|          | 2/500000 [00:04<533:45:13,  3.84s/it]
dA: 1.874; gA: -0.001;idtA: 0.020; ;dB: 0.999; gB: 0.006;cA: 0.047; cB: 0.040:   0%|          | 2/500000 [00:04<533:45:13,  3.84s/it]
dA: 1.874; gA: -0.001;idtA: 0.020; ;dB: 0.999; gB: 0.006;cA: 0.047; cB: 0.040:   0%|          | 3/500000 [00:05<529:21:24,  3.81s/it]
dA: 2.200; gA: 0.003;idtA: 0.028; ;dB: 0.427; gB: 0.012;cA: 0.079; cB: 0.041:   0%|          | 3/500000 [00:05<529:21:24,  3.81s/it] 
dA: 2.200; gA: 0.003;idtA: 0.028; ;dB: 0.427; gB: 0.012;cA: 0.079; cB: 0.041:   0%|          | 4/500000 [00:06<525:08:31,  3.78s/it]
dA: 2.084; gA: 0.012;idtA: 0.023; ;dB: 0.852; gB: 0.007;cA: 0.041; cB: 0.039:   0%|          | 4/500000 [00:06<525:08:31,  3.78s/it]
dA: 2.084; gA: 0.012;idtA: 0.023; ;dB: 0.852; gB: 0.007;cA: 0.041; cB: 0.039:   0%|          | 5/500000 [00:06<520:49:40,  3.75s/it]
dA: 12.394; gA: -0.003;idtA: 0.022; ;dB: 0.471; gB: 0.009;cA: 0.026; cB: 0.047:   0%|          | 5/500000 [00:06<520:49:40,  3.75s/it]
dA: 12.394; gA: -0.003;idtA: 0.022; ;dB: 0.471; gB: 0.009;cA: 0.026; cB: 0.047:   0%|          | 6/500000 [00:07<516:37:25,  3.72s/it]
dA: 1.753; gA: 0.002;idtA: 0.022; ;dB: 0.555; gB: 0.010;cA: 0.037; cB: 0.041:   0%|          | 6/500000 [00:07<516:37:25,  3.72s/it]  
dA: 1.753; gA: 0.002;idtA: 0.022; ;dB: 0.555; gB: 0.010;cA: 0.037; cB: 0.041:   0%|          | 7/500000 [00:08<512:28:57,  3.69s/it]
dA: 3.128; gA: -0.001;idtA: 0.026; ;dB: 0.294; gB: 0.014;cA: 0.080; cB: 0.048:   0%|          | 7/500000 [00:08<512:28:57,  3.69s/it]
dA: 3.128; gA: -0.001;idtA: 0.026; ;dB: 0.294; gB: 0.014;cA: 0.080; cB: 0.048:   0%|          | 8/500000 [00:08<508:17:47,  3.66s/it]
dA: 1.935; gA: 0.005;idtA: 0.015; ;dB: 0.293; gB: 0.010;cA: 0.030; cB: 0.033:   0%|          | 8/500000 [00:08<508:17:47,  3.66s/it] 
dA: 1.935; gA: 0.005;idtA: 0.015; ;dB: 0.293; gB: 0.010;cA: 0.030; cB: 0.033:   0%|          | 9/500000 [00:09<504:13:54,  3.63s/it]
dA: 1.796; gA: 0.014;idtA: 0.020; ;dB: 0.006; gB: 0.017;cA: 0.054; cB: 0.034:   0%|          | 9/500000 [00:09<504:13:54,  3.63s/it]
dA: 1.796; gA: 0.014;idtA: 0.020; ;dB: 0.006; gB: 0.017;cA: 0.054; cB: 0.034:   0%|          | 10/500000 [00:10<500:07:35,  3.60s/it]
dA: 4.408; gA: 0.005;idtA: 0.010; ;dB: 0.112; gB: 0.009;cA: 0.055; cB: 0.021:   0%|          | 10/500000 [00:10<500:07:35,  3.60s/it]
dA: 4.408; gA: 0.005;idtA: 0.010; ;dB: 0.112; gB: 0.009;cA: 0.055; cB: 0.021:   0%|          | 11/500000 [00:11<496:08:15,  3.57s/it]
dA: 1.625; gA: 0.003;idtA: 0.011; ;dB: 0.125; gB: 0.012;cA: 0.032; cB: 0.019:   0%|          | 11/500000 [00:11<496:08:15,  3.57s/it]
dA: 1.625; gA: 0.003;idtA: 0.011; ;dB: 0.125; gB: 0.012;cA: 0.032; cB: 0.019:   0%|          | 12/500000 [00:11<492:06:52,  3.54s/it]
dA: 2.511; gA: 0.007;idtA: 0.025; ;dB: 0.007; gB: 0.018;cA: 0.068; cB: 0.044:   0%|          | 12/500000 [00:11<492:06:52,  3.54s/it]
dA: 2.511; gA: 0.007;idtA: 0.025; ;dB: 0.007; gB: 0.018;cA: 0.068; cB: 0.044:   0%|          | 13/500000 [00:12<488:12:33,  3.52s/it]
dA: 1.689; gA: 0.001;idtA: 0.051; ;dB: 0.045; gB: 0.014;cA: 0.091; cB: 0.115:   0%|          | 13/500000 [00:12<488:12:33,  3.52s/it]
